name,category,formula(repeating unit),crystal system,color,crystal habit,fracture,mohs scale hardness,luster,specific gravity,polish luster,optical properties,refractive index,birefringence,pleochroism,ultraviolet fluorescence,absorption spectra,ima symbol,crystal class,space group,unit cell,formula mass,cleavage,tenacity,streak,diaphaneity,2v angle,fusibility,strunz classification,twinning,dana classification,density,dispersion,solubility,satin spar,selenite,alabaster,other characteristics,lustre,melting point,common impurities,hessonite,tsavorite,leuco-garnet,rosolite,alexandrite,cymophane,diagnostic features,alters to,demantoid,melanite,topazolite,achroite,indicolite,rubellite,verdelite,type,subgroups,composition,total known specimens,jmol (3d),pronunciation,appearance,"",atomic number (z),group,period,block,electron configuration,electrons per shell,phase atstp,boiling point,density (nearr.t.),whenliquid (atm.p.),critical point,heat of fusion,heat of vaporization,molar heat capacity,oxidation states,electronegativity,ionization energies,atomic radius,covalent radius,van der waals radius,natural occurrence,crystal structure,speed of sound thinrod,thermal expansion,thermal conductivity,electrical resistivity,magnetic ordering,molar magnetic susceptibility,young's modulus,shear modulus,bulk modulus,poisson ratio,mohs hardness,vickers hardness,brinell hardness,cas number,discovery,first isolation,titanclinohumite,classification,primary,secondary,fluorcanasite,frankamenite,mesh,ta98,ta2,th,fma,hackmanite,extinction,pyrope,almandine,spessartine,andradite,grossular,uvarovite,nickeloan rosasite,length fast/slow,magnetism,use/purpose,similar occurrences,alternative name,allotropes,recognized as an element by,mineral association,sapphire,ruby,emery,troostite,chinese,hanyu pinyin,ipa,yale romanization,jyutping,hokkien poj,teochew peng'im,vietnamese alphabet,hangul,hanja,revised romanization,kanji,romanization,traditionalchinese,simplified chinese,literal meaning,wade–giles,relief,optical sign,color in ppl,fabric,protoliths,tanzanite,thulite,manganophyllite
marialite,tectosilicate,na4al3si9o24cl,tetragonal,"colorless, white, grey; pink, violet, blue, yellow, brown, orange-brown, pale green or reddish","typically flat, pyramidal striated crystals; massive, granular",uneven to conchoidal,5+1⁄2–6,"vitreous, pearly, resinous",2.55–2.74,,uniaxial (-),nω = 1.539–1.550 nε = 1.532–1.541,δ = 0.007 - 0.009,,,,mar[1],dipyramidal (4/m) (same h-m symbol),i4/m,"a = 12.06å, c = 7.572(3)å; z=2",,distinct on {100} and {110},brittle,white,transparent to opaque,,,9.fb.15,,,2.5–2.62 g/cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riebeckite,silicate mineral,na2(fe2+3fe3+2)si8o22(oh)2,monoclinic,"black, dark blue; dark blue to yellow-green in thin section","as prismatic crystals, commonly fibrous, asbestiform; earthy, massive",conchoidal to uneven,6,vitreous to silky,3.28–3.44,,biaxial (-),nα = 1.680–1.698 nβ = 1.683–1.700 nγ = 1.685–1.706,δ = 0.005–0.008,"x = blue, indigo; y = yellowish green, yellow brown; z = dark blue",,,rbk[1],prismatic (2/m) (same h-m symbol),c2/m,"a = 9.76å, b = 18.04å c = 5.33å; β = 103.59°; z=2",,"perfect on {110}, intersecting at 56° and 124°; partings on {100} and {010}",brittle,pale to bluish gray,semitransparent,"measured: 68° to 85°, calculated: 62° to 78°",,,simple or multiple twinning parallel to {100},,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carletonite,phyllosilicate,"kna4ca4(co3)4si8o18(f,oh)·(h2o)",tetragonal,"colourless, light blue, dark blue, or pink","prismatic crystals, massive",conchoidal,4 - 4+1⁄2,,2.45,,uniaxial (-),nω = 1.521 nε = 1.517,δ = 0.004,weak; o = pale blue; e = pale pinkish brown,,,cto[1],ditetragonal dipyramidal (4/mmm) h–m symbol: (4/m 2/m 2/m),p4/mbm,"a = 13.17å, c = 16.69å; z=4",,"perfect on {001}, good on {110}",brittle,white,transparent to translucent,,,9.eb.20,,,,,,,,,,vitreous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peridotite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dendrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapphire,oxide mineral,"aluminium oxide, al2o3",trigonal,"typically blue, but varies","as crystals, massive and granular","conchoidal, splintery",9.0,vitreous,3.98–4.06,,abbe number 72.2,"nω = 1.768–1.772 nε = 1.760–1.763, birefringence 0.008",,strong,,,,hexagonal scalenohedral (3m) h-m symbol: (32/m),r3c,,,poor,,colorless,transparent to nearly opaque,,infusible,,both growth twins (in various orientations) and polysynthetic glide twinning on the rhombohedron [1011,,,,insoluble,,,,"coefficient of thermal expansion (5.0–6.6)×10−6/k[citation needed]
relative permittivity at 20 °c ε = 8.9–11.1 (anisotropic)[1]",,"2,030–2,050 °c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phlogopite,"mica, phyllosilicates","kmg3(alsi3o10)(f,oh)2",monoclinic,"brown, brownish red, dark brown, yellow, yellowish brown, green, white and gray","tabular, scaly masses, rarely perfect phenocryst tablets",none,2–2.5,"pearly, sometimes slightly metallic on cleavage surfaces",2.78–2.85,,"biaxial (-), 2v=12",nα = 1.530–1.573 nβ = 1.557–1.617 nγ = 1.558–1.618,δ =0.0280–0.0450,,,,phl[1],prismatic (2/m) (same h-m symbol),c2/m,,,perfect basal (001),"tough, flexible thin laminae",white,transparent to translucent,16–20°,,9.ec.20,composition twinning,,,,,,,,fluorescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vesuvianite,sorosilicate,"ca10(mg, fe)2al4(sio4)5(si2o7)2(oh,f)4",tetragonal,"yellow, green, brown; colorless to white, brown-black, light green, emerald green, violet, blue-green to blue, pink, purple, red, black, commonly zoned","short pyramidal to long prismatic crystals common, massive to columnar",sub conchoidal to irregular,6–7,vitreous to resinous,3.32–3.43,,uniaxial (−),nω = 1.703–1.752nε = 1.700–1.746,0.004–0.006,slight in colored varieties,,,ves[1],ditetragonal dipyramidal (4/mmm) h-m symbol: (4/m 2/m 2/m),p4/nnc,"a = 15.52å, c = 11.82å z=2",,poor on {110} and {100} very poor on {001},brittle,white,subtransparent to translucent,,,9.bg.35,fine twin domains observed,,,,vesuvianite is virtually insoluble in acids,,,,striated lengthwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variscite,phosphate minerals,alpo4·2h2o,orthorhombic,"pale to emerald-green (pale green in transmitted light), green, blue green, yellow green, pale shades of brown or yellow, rarely red and colourless to white",encrustations and reniform masses,conchoidal to splintery,4.5,vitreous to waxy,2.57 to 2.61,,biaxial (-),nα = 1.563 nβ = 1.588 nγ = 1.594,δ = 0.031,,,,var[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbca,,,[010] perfect,,white,transparent to translucent,,,8.cd.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goethite,oxide minerals hydroxide subgroup,α-feo(oh),orthorhombic,yellowish to reddish to dark brown or black,"radial acicular, mammillary, botryoidal, stalactitic, massive, as encrustation, as pseudomorph; may be banded or iridescent",uneven to splintery,5.0–5.5,adamantine to dull,3.3–4.3,,,opaque to sub-translucent,,,,,gth[1],dipyramidal (mmm) h–m symbol: (2/m 2/m 2/m),pbnm,,,perfect {010},,"brown, brownish yellow to orange yellow",,,fusible at 5–5.5,4.fd.10,,,,,hcl soluble,,,,weakly magnetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden sheen sapphire,oxide mineral,"aluminium oxide, al2o3",trigonal,"typically metallic gold, copper or bronze, blue, green but varies","as crystals, massive and granular","conchoidal, splintery",9.0,vitreous,3.95–4.03,,abbe number 72.2,"nω=1.768–1.772 nε=1.760–1.763, birefringence 0.008",,strong,,,,hexagonal scalenohedral (3m) h-m symbol: (32/m),r3c,,,,,,,,infusible,,,,,,insoluble,,,,"coefficient of thermal expansion (5.0–6.6)×10−6/k
relative permittivity at 20°c ε = 8.9–11.1 (anisotropic).[1]",,"2,030–2,050 °c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xonotlite,inosilicates,ca6si6o17(oh)2,monoclinic,"white, grey, pale pink, lemon white, colorless",,"splintery, tough",6.5,"vitreous, silky, pearly",2.70 – 2.72,,biaxial (+),nα = 1.583 nβ = 1.585 nγ = 1.595,0.012,,short uv = weak gray-white long uv = weak white,,xon[1],prismatic (2/m) (same h-m symbol),p2/a,879.33,,"perfect, good",,white,"transparent, translucent",50°,,9.dg.35,,66.3.1.1,measured: 2.70 – 2.72 calculated: 2.71,,,,,,,,,"fe, mn, h2o",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pezzottaite,cyclosilicate minerals,cs(be2li)al2si6o18,trigonal,"raspberry red, orange-red, pink","flattened, tabular, equant, aggregate",conchoidal to uneven,8,vitreous,3.10,,uniaxial,1.601 to 1.620,-0.008 to 0.011,moderate dichroic,,,pez[1],ditrigonal pyramidal (3m) (same h-m symbol),r3c,,,imperfect; basal,brittle,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cobaltite,sulfide mineral,coass,orthorhombic,"reddish silver white, violet steel gray to black","granular to massive, rarely as striated crystals, pseudocubic.",uneven,5.5,metallic,,,,,,,,,cbt[1],pyramidal (mm2) (same h-m symbol),pc21b,"a = 5.582å, b = 5.582å, c = 5.582å; z=4",,perfect on {001},brittle,grayish-black,opaque,,,2.eb.25,about [111] creating pseudo-cubic forms and striations,,6.33 g/cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whewellite,oxalate minerals,cac2o4·h2o,monoclinic,"colorless, yellowish, brownish",equant or stout prismatic crystals,conchoidal,2.5-3,vitreous to pearly,2.23,,"biaxial (+), colorless (transmitted light)",,,,,,whe[1],prismatic (2/m) (same h-m symbol),p21/c (no. 14),,,"{101} good, {010} imperfect, {001} indistinct, {110} indistinct",brittle,,transparent,,,10.ab.45,e {101} twin plane,,,,"insoluble in water, soluble in acids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
