name,crystal system,color,crystal habit,mohs scale hardness,luster,tenacity,diaphaneity,solubility
marialite,tetragonal,"colorless, white, grey; pink, violet, blue, yellow, brown, orange-brown, pale green or reddish","typically flat, pyramidal striated crystals; massive, granular",5+1⁄2–6,"vitreous, pearly, resinous",brittle,transparent to opaque,
riebeckite,monoclinic,"black, dark blue; dark blue to yellow-green in thin section","as prismatic crystals, commonly fibrous, asbestiform; earthy, massive",6,vitreous to silky,brittle,semitransparent,
carletonite,tetragonal,"colourless, light blue, dark blue, or pink","prismatic crystals, massive",4 - 4+1⁄2,,brittle,transparent to translucent,
peridotite,,,,,,,,
dendrite,,,,,,,,
sapphire,trigonal,"typically blue, but varies","as crystals, massive and granular",9.0,vitreous,,transparent to nearly opaque,insoluble
phlogopite,monoclinic,"brown, brownish red, dark brown, yellow, yellowish brown, green, white and gray","tabular, scaly masses, rarely perfect phenocryst tablets",2–2.5,"pearly, sometimes slightly metallic on cleavage surfaces","tough, flexible thin laminae",transparent to translucent,
vesuvianite,tetragonal,"yellow, green, brown; colorless to white, brown-black, light green, emerald green, violet, blue-green to blue, pink, purple, red, black, commonly zoned","short pyramidal to long prismatic crystals common, massive to columnar",6–7,vitreous to resinous,brittle,subtransparent to translucent,vesuvianite is virtually insoluble in acids
variscite,orthorhombic,"pale to emerald-green (pale green in transmitted light), green, blue green, yellow green, pale shades of brown or yellow, rarely red and colourless to white",encrustations and reniform masses,4.5,vitreous to waxy,,transparent to translucent,
goethite,orthorhombic,yellowish to reddish to dark brown or black,"radial acicular, mammillary, botryoidal, stalactitic, massive, as encrustation, as pseudomorph; may be banded or iridescent",5.0–5.5,adamantine to dull,,,hcl soluble
golden sheen sapphire,trigonal,"typically metallic gold, copper or bronze, blue, green but varies","as crystals, massive and granular",9.0,vitreous,,,insoluble
xonotlite,monoclinic,"white, grey, pale pink, lemon white, colorless",,6.5,"vitreous, silky, pearly",,"transparent, translucent",
pezzottaite,trigonal,"raspberry red, orange-red, pink","flattened, tabular, equant, aggregate",8,vitreous,brittle,,
cobaltite,orthorhombic,"reddish silver white, violet steel gray to black","granular to massive, rarely as striated crystals, pseudocubic.",5.5,metallic,brittle,opaque,
whewellite,monoclinic,"colorless, yellowish, brownish",equant or stout prismatic crystals,2.5-3,vitreous to pearly,brittle,transparent,"insoluble in water, soluble in acids"
adamite,orthorhombic,"pale yellow, honey-yellow, brownish yellow, reddish; rarely white, colorless, blue, pale green to green, may be zoned",wedge-like prisms typically in druses and radiating clusters; also smooth botryoidal masses,3.5,vitreous,brittle,,
gyrolite,triclinic,"white, colorless, green, yellow or brown","compact, lamellar, platy",2+1⁄2,"vitreous, pearly",brittle,"transparent, translucent, opaque",
goldstone,,,,,,,,
baltic amber,,,,,,,,
hessonite,cubic[2],"light to dark green, light to dark yellow to reddish brown, brown, orange, red, yellow, green, white, occasionally translucent to opaque pink. it is also but rarely
found in colorless form[2]",,6.5 to 7[2],greasy to vitreous[2],,,
amazonite,triclinic,"green, blue-green",prismatic,6.0–6.5,vitreous,brittle,"translucent, opaque",
prasiolite,trigonal,shades of green,hexagonal prisms,7 – lower in impure varieties[1],,brittle[1],transparent to nearly opaque,
quartz,α-quartz: trigonal β-quartz: hexagonal,"colorless through various colors (pink, orange, purple, dark brown)
 to black","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",7– lower in impure varieties (defining mineral),vitreous– waxy to dull when massive,brittle,transparent to nearly opaque,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[3]
euclase,monoclinic,"colorless, white, pale green to deep yellowish green, greenish blue, pale blue to deep blue, and light red",prismatic crystals,7.5,vitreous,brittle,"transparent, translucent",
jeremejevite,hexagonal,"colorless, white, yellowish, blue, light yellow brown, aquamarine blue, rarely violet; colourless in transmitted light",prismatic,6.5 - 7.5,vitreous,,transparent,
pectolite,triclinic,"colorless, whitish, grayish, yellowish","tabular to acicular, radiating fibrous, spheroidal, or columnar; massive",4.5 - 5,"silky, subvitreous",brittle; tough when compact,translucent to opaque,
cymophane,orthorhombic,"various shades of green, emerald-green yellow, blue, brownish to greenish black, may be raspberry-red under incandescent light when chromian; colorless, pale shades of yellow, green, or red in transmitted light","crystals tabular or short prismatic, prominently striated",8.5,vitreous,brittle,,
danburite,orthorhombic,"colourless, white, gray, brownish white, straw yellow",euhedral prismatic crystals; disseminated masses,7 – 7.5,,brittle,transparent to translucent,
tourmaline,trigonal,"most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in-between. it can also be bi-colored, or even tri-colored. rarely, it can be found as neon green or electric blue.","parallel and elongated; acicular prisms, sometimes radiating; massive; scattered grains (in granite)",7.0–7.5,"vitreous, sometimes resinous",brittle,translucent to opaque,
fire opal,amorphous[2],"colorless, white, yellow, red, orange, green, brown, black, blue, pink","irregular veins, in masses, in nodules",5.5–6[2],subvitreous to waxy[2],,"opaque, translucent, transparent","hot salt water, bases, methanol, humic acid, hydrofluoric acid"
nepheline,hexagonal,"white, gray, brown, brownish gray, or reddish white",massive granular to prismatic,6,vitreous to greasy,,,
analcime,orthorhombic,"white, colorless, gray, pink, greenish, yellowish","typically in crystals, usually trapezohedrons, also massive to granular.",5 - 5.5,vitreous,,transparent to subtransparent to translucent,
moss agate,,,,,,,,
samarskite,orthorhombic,"black, may have a brownish tint, brown to yellowish brown due to alteration; light to dark brown in transmitted light",crystals elongated with pyramidal terminations; commonly granular to massive,5 - 6,vitreous - resinous,brittle,"opaque, transparent in thin fragments",
zunyite,isometric,"grayish white, flesh-red; colorless in thin section",crystalline - occurs as well-formed fine sized crystals,7,vitreous,brittle,transparent to translucent with inclusions,
fergusonite,tetragonal,"black, black, brown, gray, yellow","metamict – mineral originally crystalline, now amorphous due to radiation damage",5.5–6,submetallic,,,
ferroaxinite,triclinic,"reddish brown to yellow to colorless. blue, violet, grey.","tabular, wedge shaped crystals",6.0–7.5,vitreous,,,
malachite,monoclinic,"bright green, dark green, blackish green, with crystals deeper shades of green, even very dark to nearly black commonly banded in masses; green to yellowish green in transmitted light","massive, botryoidal, stalactitic, crystals are acicular to tabular prismatic",3.5–4,adamantine to vitreous; silky if fibrous; dull to earthy if massive,,translucent to opaque,
cubic zirconia,cubic,various,,8.0-8.5,,,,
cryolite,monoclinic,"colorless to white, also brownish, reddish and rarely black","usually massive, coarsely granular.  the rare crystals are equant and pseudocubic",2.5 to 3,"vitreous to greasy, pearly on {001}",brittle,transparent to translucent,"soluble in alcl3 solution, soluble in h2so4 with the evolution of hf, which is poisonous. insoluble in water.[2]"
ammolite,,"gray to brown,  can be radiant blue, with primarily red to green iridescence.[1]",,3.5 - 4.5,greasy to dull[1],,,
anorthite,triclinic,"white, grayish, reddish",anhedral to subhedral granular,6,vitreous,brittle,transparent to translucent,
marcasite,orthorhombic,"tin-white on fresh surface, pale bronze-yellow, darkening on exposure, iridescent tarnish","crystals typically tabular on {010}, curved faces common; stalactitic,
 reniform, massive; cockscomb and spearhead shapes due to twinning on {101}.",6–6.5,metallic,brittle,opaque,
smithsonite,trigonal,"white, grey, yellow, green to apple-green, blue, pink, purple, bluish grey, and brown","uncommon as crystals, typically botryoidal, reniform, spherulitic; stalactitic, earthy, compact massive",4.5,"vitreous, may be pearly",brittle,translucent,
fluor-liddicoatite,trigonal,"usually smoky brown, but also pink, red, green, blue, or rarely white.","stout prismatic, with a curved convex trigonal outline",7+1⁄2,vitreous,brittle,transparent to translucent,
wollastonite,triclinic monoclinic polytype exists,"white, colorless or gray","rare as tabular crystals—commonly massive in lamellar, radiating, compact and fibrous aggregates.",4.5 to 5.0,vitreous or dull to pearly on cleavage surfaces,,transparent to translucent,"soluble in hcl, insoluble in water"
seashell,,,,,,,,
ballas,,,,,,,,
milarite,hexagonal,,,6[2],,,,
howlite,monoclinic,"white, colorless","massive to nodular, occurs as tabular prisms flattened parallel to [100]",3.5,"subvitreous, glimmering",,translucent,
charlesite,trigonal,"colorless, white, rarely pale yellow, rarely pink","prismatic, hexagonal dipyramidal crystals",2.5,vitreous on cleavage and fracture surfaces,brittle,transparent,
diopside,monoclinic,"commonly light to dark green; may be blue, brown, colorless, white to snow white, grey, pale violet","short prismatic crystals common, may be granular, columnar, massive",5.5 - 6.5,vitreous to dull,brittle,,
amblygonite,triclinic,"generally white or creamy, but can also be colorless or pale yellow, green, blue, beige, gray, brown or pink.",prismatic to columnar form,5.5 - 6[2],vitreous to pearly[2],,,
topaz,orthorhombic,"colorless (if there are no impurities), white, blue, brown, orange, gray, yellow, yellowish brown, green, pink, reddish pink or even red",prismatic crystal,8 (defining mineral),vitreous,,transparent,
spurrite,monoclinic,"gray, gray white to lilac gray",massive to granular,5,vitreous to resinous,,transparent to translucent,
phosphosiderite,monoclinic,"usually red to pink to purple, sometimes green, usually yellow veined",tabular {010} or stout prismatic [001],3.5–4,vitreous,,"transparent, translucent","totally soluble in hydrochloric acid, nearly insoluble in nitric acid"
melanite,cubic,"yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored","commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive",6.5 to 7,"adamantine to resinous, dull",brittle,transparent to translucent,
elbaite,trigonal,"green, red to pink, blue, orange, yellow, colorless, multicolored",prismatic; striated,7+1⁄2,vitreous,,transparent to opaque,
fordite,,,,,,,,
turquoise,triclinic,"turquoise, blue, blue-green, green","massive, nodular",5–6,waxy to subvitreous,,opaque,soluble in hcl
descloizite,orthorhombic,"brownish red, red-orange, reddish to blackish brown, nearly black","zoned tabular crystals common, encrustations and plumose aggregates",3 - 3.5,greasy,brittle,transparent to opaque,
narsarsukite,tetragonal,"honey to lemon-yellow, reddish brown, brownish gray, tan, pink; may be green from inclusions; may show color zoning","occurs as flat tabular to equant, striated crystals in divergent, radiating groups; massive",5.5 - 7,"vitreous, pearly on {110}",brittle,transparent to translucent,
lawsonite,orthorhombic,"colorless, white, pale blue to grayish blue","commonly prismatic, tabular; also granular, massive",7.5,"vitreous, greasy",brittle,translucent,
tiger's eye,,golden to red-brown,,6.5-7,silky,,,
spodumene,monoclinic,"highly variable: white, colorless, gray, pink, lilac, violet, yellow and green, may be bicolored; emerald green - hiddenite; lilac - kunzite; yellow - triphane","prismatic, generally flattened and elongated, striated parallel to {100}, commonly massive",6.5–7,"vitreous, pearly on cleavage",brittle,,insoluble
shattuckite,orthorhombic,"dark and light blue, turquoise",commonly spherulitic aggregates of acicular crystals,3.5,dull to silky,,translucent to opaque,
poudretteite,hexagonal,"colorless, light pink",roughly equant barrel-shaped prismatic crystals,5,vitreous (glassy),brittle,transparent,
cornwallite,monoclinic,"verdigis green, blackish-green, emerald-green","microcrystalline radial fibrous, botryoidal to globular crusts",4.5,"sub-vitreous, resinous, waxy",brittle,translucent to opaque,
palygorskite,monoclinic,"white, grayish, yellowish, gray-green","lath shaped crystals, fibrous and compact masses",2 - 2.5,"waxy, earthy",tough,translucent,
agate,trigonal or monoclinic,banded,cryptocrystalline silica,6.5–7,waxy,,translucent,
cerussite,orthorhombic,"colorless, white, gray, blue, or green","massive granular, reticulate, tabular to equant crystals",3 to 3.5,"adamantine, vitreous, resinous",,transparent to translucent,
chromite,isometric,black to brownish black; brown to brownish black on thin edges in transmitted light,octahedral rare; massive to granular,5.5,"resinous, greasy, metallic, sub-metallic, dull",brittle,translucent to opaque,
tantalite,orthorhombic,"dark black, iron-black to dark brown, reddish brown",,6-6.5,submetallic to almost resinous,,,
lepidolite,monoclinic,"pink, light purple, purple, rose-red, violet-gray, yellowish, white, colorless other colors possible but are rare.","tabular to prismatic pseudohexagonal crystals, scaly aggregates and massive",2.5–3,vitreous to pearly,,transparent to translucent,
thomsonite,orthorhombic,"colorless, white, beige, and pink",,5-5+1⁄2,"vitreous, pearly",,transparent to translucent,
apatite,hexagonal,"transparent to translucent, usually green, less often colorless, yellow, blue to violet, pink, brown.[3]","tabular, prismatic crystals, massive, compact or granular",5[3] (defining mineral),vitreous[3] to subresinous,,transparent to translucent[2],
stibiotantalite,orthorhombic,"yellow to dark brown, reddish",,5.5,,,transparent to translucent,
gaspeite,trigonal,"pale green, light grass or apple green","rhombic crystal aggregates, nodular concretions (botryoidal), massive",4.5 - 5,vitreous to dull,,translucnt,hcl soluble
lizardite,trigonal,"green, brown, light yellow to white",,2.5,"resinous, waxy, greasy",,,
sérandite,triclinic,salmon pink to orange,,5 to 5.5,vitreous to greasy; fibrous aggregates are dull to silky[2],brittle,"transparent, translucent",
wernerite,,,,,,,,
apophyllite,tetragonal,"usually white, colorless; also blue, green, brown, yellow, pink, violet","prismatic, tabular, massive",4.5 - 5,vitreous; pearly,,transparent to translucent,
graphic texture,,,,,,,,
leucophanite,orthorhombic,,,,,,,
senarmontite,,,,,,,,
gadolinium gallium garnet,cubic,"transparent, colorless to light brown or yellow. may also be orange or blue.[1]",,6.5[1] (other sources 7.5),vitreous to subadamantine[1],,,
gibbsite,monoclinic,,,2.5-3,,,,
bauxite,,,,,,,,
forsterite,orthorhombic,"colorless, green, yellow, yellow green, white","dipyramidal prisms often tabular, commonly granular or compact massive",7,vitreous,,transparent to translucent,
ulexite,triclinic,colorless to white,acicular to fibrous,2.5,vitreous; silky or satiny in fibrous aggregates,brittle,transparent to opaque,slightly soluble in water
smoky quartz,α-quartz: trigonal trapezohedral class 3 2; β-quartz: hexagonal 622[1],"brown to grey, opaque","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",7– lower in impure varieties (defining mineral),,brittle,transparent to nearly opaque,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[1]
purpurite,orthorhombic,"brownish black, violet, dark pink, dark red, reddish purple",massive to granular,4-5,earthy,brittle,,
pargasite,monoclinic,"bluish green, grayish black, light brown",stout prismatic to tabular,5–6,vitreous,,"translucent, will transmit light on thin edges.",
ludwigite,orthorhombic,"pitch-black, olive-black",massive - fibrous commonly in fanlike to felted aggregates,5.5,silky to submetallic,,"opaque, translucent in thin fragments",slowly soluble in acid
siderite,trigonal,"pale yellow to tan, grey, brown, green, red, black and sometimes nearly colorless","tabular crystals, often curved; botryoidal to massive",3.75–4.25,"vitreous, may be silky to pearly",brittle,translucent to subtranslucent,
amber,,,,,,,,
citrine quartz,α-quartz: trigonal β-quartz: hexagonal,"colorless through various colors (pink, orange, purple, dark brown)
 to black","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",7– lower in impure varieties (defining mineral),vitreous– waxy to dull when massive,brittle,transparent to nearly opaque,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[3]
epidote,monoclinic,"pistachio-green, yellow-green, greenish black, brownish-green, green, black","prismatic with striations, fibrous, massive",6–7,vitreous to resinous,,transparent to nearly opaque,
psilomelane,monoclinic,black with gray pyrolusite bands,"botryoidal, mammillary, reniform",5.0 – 6.0,"sub-metallic, dull",,opaque,in hydrochloric acid
anthracite,,,,,,,,
uvarovite,cubic,"green, emerald-green, green-black","euhedral crystals, granular, massive",6.5–7.5,vitreous,,"transparent, translucent",
pallasite,,,,,,,,
soapstone,,,,,,,,
ammonoidea,,,,,,,,
meionite,tetragonal,"colorless, white, grey, pink, violet, blue, yellow, orange-brown, brown",,5 - 6,"vitreous, resinous, pearly",brittle,"transparent, opaque",
weloganite,triclinic,"yellow, pale yellow, amber, tan, white","roughly hexagonal, tapering crystals, pseudorhombohedral",3+1⁄2,vitreous,,translucent,
diamond,cubic,"typically yellow, brown, or gray to colorless. less often blue, green, black, translucent white, pink, violet, orange, purple, and red.",octahedral,10 (defining mineral),adamantine,,transparent to subtransparent to translucent,
anorthoclase,triclinic,"colorless, also white, pale creamy yellow, red, green","short prismatic crystals; tabular, rhombic, flattened along [010]",6,vitreous to pearly on cleavage planes,brittle,transparent,
jacinth,,,,,,,,
manganoan calcite,,,,,,,,
stolzite,tetragonal,"reddish brown, brown, yellowish gray, smoky gray, straw-yellow, lemon-yellow; may be green, orange, red",crystals dipyramidal to tabular,2.5 - 3,"resinous, subadamantine",brittle,translucent to transparent,
enstatite,orthorhombic,"white, grey, green, yellow or brown - colorless in thin section.","prismatic crystals, commonly lamellar, fibrous, or massive",5 to 6,"vitreous, pearly on cleavage",brittle,translucent to opaque,
polyhalite,triclinic,"colorless, white, gray; often salmon-pink to brick-red from included iron oxide","typically fibrous, foliated, massive; rarely as tabular crystals; pseudo-orthorhombic",3.5,vitreous to resinous,brittle,transparent,"soluble in water, with precipitation of gypsum and perhaps syngenite"
beryllium,,,,,,,,
alunite,trigonal,"yellow, red, to reddish brown, colorless if pure; may be white, pale shades of gray","fibrous to columnar, porcelaneous, commonly granular to dense massive",3.5– 4,"vitreous, somewhat pearly on {0001} for crystals, earthy if massive",brittle,transparent to translucent,
andesine,triclinic,"white, gray, green, yellow, flesh-red","crystals rare, to 2 cm; commonly massive or granular",6 – 6.5,subvitreous to pearly,brittle,transparent to translucent,
clinohumite,monoclinic,"brownish to orange, yellow, red","granular, prismatic, twinned",6,vitreous to resinous,,transparent to translucent,
plumbogummite,trigonal,"blue, grey, greenish or yellow","crystals, rare, have a hexagonal outline",4 to 5 [2][3] or 4.5 to 5[4][5],resinous or dull,brittle,translucent,soluble in hot acids
strontianite,orthorhombic,"colourless, white, gray, light yellow, green or brown; colourless in transmitted light","prismatic, acicular, pseudo hexagonal, columnar to fibrous, granular, massive",3+1⁄2,,brittle,transparent to translucent,soluble in dilute hcl
tsavorite,cubic,light to deep green,,7 – 7.5[1],,,,
californite,tetragonal,"yellow, green, brown; colorless to white, brown-black, light green, emerald green, violet, blue-green to blue, pink, purple, red, black, commonly zoned","short pyramidal to long prismatic crystals common, massive to columnar",6–7,vitreous to resinous,brittle,subtransparent to translucent,vesuvianite is virtually insoluble in acids
hibonite,hexagonal,brownish black to black; reddish brown in thin fragments; blue in meteorite occurrence,prismatic platy to steep pyramidal crystals,7+1⁄2-8,vitreous,,semitransparent,
baryte,orthorhombic,"colorless, white, light shades of blue, yellow, grey, brown","tabular parallel to base, fibrous, nodular to massive",3-3.5,"vitreous, pearly",brittle,transparent to opaque,low
kunzite,monoclinic,"highly variable: white, colorless, gray, pink, lilac, violet, yellow and green, may be bicolored; emerald green - hiddenite; lilac - kunzite; yellow - triphane","prismatic, generally flattened and elongated, striated parallel to {100}, commonly massive",6.5–7,"vitreous, pearly on cleavage",brittle,,insoluble
scapolite,,,,,,,,
peridot,orthorhombic,"yellow, to yellow-green, olive-green, to brownish, sometimes a lime green, to emerald-ish hue",,6.5–7,vitreous to oily,,translucent to transparent,slow in hcl to form gelatinous silica
chiolite,tetragonal,"nearly colorless, snow white",,2.5,"vitreous, pearly, greasy",,"transparent, translucent",
prismatine,orthorhombic,"yellow brown, green brown, brown green",,,,,,
afghanite,trigonal,"light blue, dark blue","lath shaped crystals, rounded grains",51⁄2 - 6,vitreous,,transparent,
kimberlite,,,,,,,,
granite,,,,,,,,
dravite,trigonal,"most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in-between. it can also be bi-colored, or even tri-colored. rarely, it can be found as neon green or electric blue.","parallel and elongated; acicular prisms, sometimes radiating; massive; scattered grains (in granite)",7.0–7.5,"vitreous, sometimes resinous",brittle,translucent to opaque,
rubellite,,"red, pink, pinkish, violet-red",,,,,,
chalcedony,trigonal or monoclinic,various,,6–7,"waxy, vitreous, dull, greasy, silky",,translucent,
trinitite,,,,,,,,
eosphorite,orthorhombic,"usually pale brown, golden brown, also medium brown to dark brown; occasionally pink, rose red","prismatic in radiating sprays or spheres, massive; twinned pseudo-orthorhombic",5,"vitreous, resinous",,transparent to translucent,
metal-coated crystal,,,,,,,,
epidosite,,,,,,,,
aquamarine,,,,7.5 to 8,,,,
crocidolite,monoclinic,"black, dark blue; dark blue to yellow-green in thin section","as prismatic crystals, commonly fibrous, asbestiform; earthy, massive",6,vitreous to silky,brittle,semitransparent,
larimar,triclinic,"shades of blue, blue-green","tabular to acicular, radiating fibrous, spheroidal, or columnar; massive",4.5 - 5,"silky, subvitreous",brittle; tough when compact,translucent to opaque,
ceylonite,isometric,"various; red to blue to mauve, dark green, brown, black","cubic, octahedral",7.5–8.0,vitreous,,transparent to translucent,none
clinochlore,monoclinic 2/m; with some triclinic polymorphs.,"various shades of green; rarely yellow, red, or white.","foliated masses, scaley aggregates, disseminated flakes.",2–2.5,"vitreous, pearly, dull",,,
padparadscha,trigonal,"typically blue, but varies","as crystals, massive and granular",9.0,vitreous,,transparent to nearly opaque,insoluble
hambergite,orthorhombic,"colorless, pale gray, pale yellow",prismatic crystals,7.5,vitreous,brittle,transparent to translucent,soluble in hf (hydrogen fluoride)
yttrium iron garnet,,green[1],,,,,,
chiastolite,,,,,,,,
fire agate,"trigonal, monoclinic",blue to yellow to red,,6 - 7,"waxy, vitreous, dull, greasy, silky",,translucent,
euxenite,orthorhombic,"black, brownish black,greenish black","massive, anhedral crystals in matrix",5.5 to 6.5,"brilliant submetallic, waxy to resinous on fractures",,"opaque, translucent on thin edges",
sperrylite,isometric,tin white,"well-formed finely crystalline, massive to reniform",6 - 7,metallic,brittle,,
triplite,monoclinic,"chestnut to reddish brown, flesh-red, salmon-pink","prismatic, massive to nodular",5 to 5.5,vitreous to resinous,,translucent to opaque,
mellite,tetragonal,"honey-yellow, deep red, pale shades of red, brown, gray, white;","elongated bipyramidal prismatic; as nodules and coatings, fine-grained massive",2-2+1⁄2,"vitreous, resinous, greasy",slightly sectile,transparent to translucent,
topazolite,cubic,"yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored","commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive",6.5 to 7,"adamantine to resinous, dull",brittle,transparent to translucent,
actinolite,monoclinic,"pale to dark green, yellowish green, blue and black. white or grey when in asbestos","bladed, fibrous, radial",5–6,vitreous to dull,,translucent to transparent,
tektites,,,,,,,,
jet,,"black, occasionally brown",,2.5–4.0,,brittle,,
canasite,monoclinic,"brownish yellow, green yellow, light green",,5 - 6,vitreous,,"transparent, translucent",readily decomposed by acids
moonstone,,"can be numerous colors, including blue, grey, white, pink, peach, green and brown, as well as colorless",,6.0,opalescent,,,
tinaksite,triclinic,"pink, pale yellow, light brown","fibrous, crystalline or prismatic, crystalline, or radial, crystalline",6,vitreous to glassy,,transparent to translucent,
millerite,trigonal,"pale brass-yellow to bronze-yellow, tarnishes to iridescence",typically acicular (needle-like) often in radial sprays - also massive,3 - 3.5,metallic,brittle; capillary crystals elastic,opaque,
boleite,isometric,deep prussian blue to indigo,cubic crystals,3.0 – 3.5,vitreous to pearly,,translucent,
lamproite,,,,,,,,
pagodite,,,,,,,,
dioptase,trigonal,"dark teal, emerald green",six sided prisms terminated by rhombohedrons to massive,5,vitreous,brittle,transparent to translucent,
jadeite,monoclinic,"apple-green, emerald-green, bluish green, leek-green, purplish blue, greenish white, white, black, may show green spots, rarely blue or violet; colorless in thin section. often also banded.","commonly massive, or fibrous, granular; prismatic crystals rare",6.5 - 7,"subvitreous, pearly on cleavages",,translucent,
shigaite,trigonal,"yellow, burnt orange, brown, black[5]",,2[5],vitreous to dull[3],moderately flexible[5],transparent[3],
carnallite,orthorhombic,"blue, colorless, yellow, white, red",fibrous,2.5,greasy,,transparent to translucent,
emerald,hexagonal (6/m 2/m 2/m) space group: p6/mсc,bluish green to green,massive to well crystalline,7.5–8,vitreous,,transparent to opaque,
bone,,,,,,,,
bowenite,,,,,,,,
spessartine,isometric,yellow through red,massive to crystalline,6.5 – 7.5,vitreous,brittle,transparent to translucent,
oligoclase,triclinic,"usually white, with shades of grey, green, or red.[1]",,6 to 6.5,vitreous,,,
chabazite,trigonal,"colorless, white, yellow, pink, red",,4-5,vitreous,,"transparent, translucent",
breithauptite,hexagonal,"pale copper-red, may be with violet tint","crystals rare, thin tabular or needlelike, to 1 mm; arborescent, disseminated, massive",5.5,metallic,brittle,opaque,
nacre,,,,,,,,
tephroite,orthorhombic,"olive-green, bluish green, gray, °esh-red, reddish brown; pale green in thin section, may be colorless","crystals typically short, prismatic, to 4 cm, or anhedral, equidimensional. commonly in disseminated grains, compact, or massive.",6,vitreous to greasy,brittle,transparent to translucent,
vivianite,monoclinic,"colorless, very pale green, becoming dark blue, dark greenish blue, indigo-blue, then black with oxidation","flattened, elongated prismatic crystals, may be rounded or corroded; as stellate groups, incrustations, concretionary, earthy or powdery",1.5-2,"vitreous, pearly on the cleavage, dull when earthy","flexible, sectile",transparent to translucent,easily soluble in acids
siilinjärvi carbonatite,,,,,,,,
sodalite,cubic,"rich royal blue, green, yellow, violet, white veining common",massive; rarely as dodecahedra,5.5-6,dull vitreous to greasy,brittle,transparent to translucent,soluble in hydrochloric acid and nitric acid
bastnaesite,hexagonal,"honey-yellow, reddish brown","tabular to equant striated crystals, deep grooves may resemble thin plates stack, oriented overgrowths, also granular, massive",4–5,"vitreous, greasy, pearly on basal partings",brittle,transparent to translucent,
painite,hexagonal[2],"red, brownish, orange-red","elongated crystals, pseudo-orthorhombic[4][3]",7.5 - 8,vitreous,,transparent,insoluble in acids[4]
